met2013,csa_m13,name_met2013,name_csa_m13
19780,100218,"des moines-west des moines, ia","Des Moines-Ames-West Des Moines, IA"
19820,100220,"detroit-warren-dearborn, mi","Detroit-Warren-Ann Arbor, MI"
20100,100428,"dover, de","Philadelphia-Reading-Camden, PA-NJ-DE-MD"
39580,100450,"raleigh, nc","Raleigh-Durham-Cary, NC"
20500,100450,"durham-chapel hill, nc","Raleigh-Durham-Cary, NC"
20700,100408,"east stroudsburg, pa","New York-Newark, NY-NJ-CT-PA"
20740,100232,"eau claire, wi","Eau Claire-Menomonie, WI"
20940,20940,"el centro, ca","El Centro, CA"
21060,100350,"elizabethtown-fort knox, ky","Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN"
21140,100515,"elkhart-goshen, in","South Bend-Elkhart-Mishawaka, IN-MI"
21340,100238,"el paso, tx","El Paso-Las Cruces, TX-NM"
21500,100240,"erie, pa","Erie-Meadville, PA"
21660,21660,"eugene, or","Eugene-Springfield, OR"
21780,21780,"evansville, in-ky","Evansville, IN-KY"
22140,22140,"farmington, nm","Farmington, NM"
22180,100246,"fayetteville, nc","Fayetteville-Sanford-Lumberton, NC"
22220,22220,"fayetteville-springdale-rogers, ar-mo","Fayetteville-Springdale-Rogers, AR"
22380,22380,"flagstaff, az","Flagstaff, AZ"
22420,100220,"flint, mi","Detroit-Warren-Ann Arbor, MI"
22500,22500,"florence, sc","Florence, SC"
22520,22520,"florence-muscle shoals, al","Florence-Muscle Shoals, AL"
22660,22660,"fort collins, co","Fort Collins, CO"
29200,100320,"lafayette-west lafayette, in","Lafayette-West Lafayette-Frankfort, IN"
23420,100260,"fresno, ca","Fresno-Madera-Hanford, CA"
23460,23460,"gadsden, al","Gadsden, AL"
24860,100273,"greenville-anderson-mauldin, sc","Greenville-Spartanburg-Anderson, SC"
23540,100264,"gainesville, fl","Gainesville-Lake City, FL"
23580,100122,"gainesville, ga","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
24020,100104,"glens falls, ny","Albany-Schenectady, NY"
24140,24140,"goldsboro, nc","Goldsboro, NC"
24300,24300,"grand junction, co","Grand Junction, CO"
24340,100266,"grand rapids-wyoming, mi","Grand Rapids-Kentwood-Muskegon, MI"
24540,100216,"greeley, co","Denver-Aurora, CO"
24660,100268,"greensboro-high point, nc","Greensboro--Winston-Salem--High Point, NC"
24780,100272,"greenville, nc","Greenville-Kinston-Washington, NC"
25060,25060,"gulfport-biloxi-pascagoula, ms","Gulfport-Biloxi, MS"
47900,100548,"washington-arlington-alexandria, dc-va-md-wv","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
25220,100406,"hammond, la","New Orleans-Metairie-Hammond, LA-MS"
25260,100260,"hanford-corcoran, ca","Fresno-Madera-Hanford, CA"
