county,state_name,cbsa,fips,cbsa_code
Milwaukee County,Wisconsin,"Milwaukee-Waukesha, WI",55079,33340
Ozaukee County,Wisconsin,"Milwaukee-Waukesha, WI",55089,33340
Washington County,Wisconsin,"Milwaukee-Waukesha, WI",55131,33340
Waukesha County,Wisconsin,"Milwaukee-Waukesha, WI",55133,33340
Webster Parish,Louisiana,"Minden, LA",22119,33380
Palo Pinto County,Texas,"Mineral Wells, TX",48363,33420
Anoka County,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI",27003,33460
Carver County,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI",27019,33460
Chisago County,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI",27025,33460
Dakota County,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI",27037,33460
Hennepin County,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI",27053,33460
Isanti County,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI",27059,33460
Le Sueur County,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI",27079,33460
Mille Lacs County,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI",27095,33460
Ramsey County,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI",27123,33460
Scott County,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI",27139,33460
Sherburne County,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI",27141,33460
Washington County,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI",27163,33460
Wright County,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI",27171,33460
Pierce County,Wisconsin,"Minneapolis-St. Paul-Bloomington, MN-WI",55093,33460
St. Croix County,Wisconsin,"Minneapolis-St. Paul-Bloomington, MN-WI",55109,33460
McHenry County,North Dakota,"Minot, ND",38049,33500
Renville County,North Dakota,"Minot, ND",38075,33500
Ward County,North Dakota,"Minot, ND",38101,33500
Missoula County,Montana,"Missoula, MT",30063,33540
Davison County,South Dakota,"Mitchell, SD",46035,33580
Hanson County,South Dakota,"Mitchell, SD",46061,33580
Randolph County,Missouri,"Moberly, MO",29175,33620
Mobile County,Alabama,"Mobile, AL",1097,33660
Washington County,Alabama,"Mobile, AL",1129,33660
Stanislaus County,California,"Modesto, CA",6099,33700
Morehouse Parish,Louisiana,"Monroe, LA",22067,33740
Ouachita Parish,Louisiana,"Monroe, LA",22073,33740
Union Parish,Louisiana,"Monroe, LA",22111,33740
Monroe County,Michigan,"Monroe, MI",26115,33780
Autauga County,Alabama,"Montgomery, AL",1001,33860
Elmore County,Alabama,"Montgomery, AL",1051,33860
Lowndes County,Alabama,"Montgomery, AL",1085,33860
Montgomery County,Alabama,"Montgomery, AL",1101,33860
Montrose County,Colorado,"Montrose, CO",8085,33940
Ouray County,Colorado,"Montrose, CO",8091,33940
Carteret County,North Carolina,"Morehead City, NC",37031,33980
St. Mary Parish,Louisiana,"Morgan City, LA",22101,34020
Monongalia County,West Virginia,"Morgantown, WV",54061,34060
Preston County,West Virginia,"Morgantown, WV",54077,34060
Grainger County,Tennessee,"Morristown, TN",47057,34100
Hamblen County,Tennessee,"Morristown, TN",47063,34100
Jefferson County,Tennessee,"Morristown, TN",47089,34100
Latah County,Idaho,"Moscow, ID",16057,34140
Grant County,Washington,"Moses Lake, WA",53025,34180
Colquitt County,Georgia,"Moultrie, GA",13071,34220
Baxter County,Arkansas,"Mountain Home, AR",5005,34260
Elmore County,Idaho,"Mountain Home, ID",16039,34300
Surry County,North Carolina,"Mount Airy, NC",37171,34340
Logan County,West Virginia,"Mount Gay-Shamrock, WV",54045,34350
Isabella County,Michigan,"Mount Pleasant, MI",26073,34380
Camp County,Texas,"Mount Pleasant, TX",48063,34420
Titus County,Texas,"Mount Pleasant, TX",48449,34420
Bath County,Kentucky,"Mount Sterling, KY",21011,34460
Menifee County,Kentucky,"Mount Sterling, KY",21165,34460
Montgomery County,Kentucky,"Mount Sterling, KY",21173,34460
Jefferson County,Illinois,"Mount Vernon, IL",17081,34500
Knox County,Ohio,"Mount Vernon, OH",39083,34540
Skagit County,Washington,"Mount Vernon-Anacortes, WA",53057,34580
Delaware County,Indiana,"Muncie, IN",18035,34620
Calloway County,Kentucky,"Murray, KY",21035,34660
Muscatine County,Iowa,"Muscatine, IA",19139,34700
Muskegon County,Michigan,"Muskegon, MI",26121,34740
Muskogee County,Oklahoma,"Muskogee, OK",40101,34780
Brunswick County,North Carolina,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",37019,34820
Horry County,South Carolina,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",45051,34820
Nacogdoches County,Texas,"Nacogdoches, TX",48347,34860
Napa County,California,"Napa, CA",6055,34900
Collier County,Florida,"Naples-Marco Island, FL",12021,34940
Cannon County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",47015,34980
Cheatham County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",47021,34980
Davidson County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",47037,34980
Dickson County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",47043,34980
Macon County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",47111,34980
Maury County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",47119,34980
Robertson County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",47147,34980
Rutherford County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",47149,34980
Smith County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",47159,34980
Sumner County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",47165,34980
